id,name,,type,description,categories,tags,columns,download_count,page_views_total,created_at,updated_at,url
6iwb-7euj,2021 - 2022 Bilingual Program List,Bilingual Program List,dataset,Bilingual Program per program type and language per school,,,Borough; Special Education Model; Borough/Citywide Office (B/CO); Language; School Category; School Name; District; General/Special Education; School; Language (Translated); Program,1493,13235,2022-02-28T14:57:44.000Z,2024-11-26T23:15:13.000Z,https://data.cityofnewyork.us/d/6iwb-7euj
vquv-pjuh,2020-2021 Demographic Snapshot Borough,Demographic Snapshot Borough,dataset,"To provide a snapshot of citywide student enrollment and demographic information across multiple years. Data is collected using multiple data sources, including DOE's Audited Register, biographic data from Automate The Schools (ATS) system and the Location Code Generation and Management System (LCGMS).  Data can be used to view citywide demographic and enrollment trends over time.                                                                                             Enrollment counts are based on the October 31 Audited Register for each school year.  Please note that October 31 enrollment is not audited for charter schools or Pre-K Early Education Centers(NYCEECs).  Charter schools are required to submit enrollment as of BEDS Day the first Wednesday in October to the New York State Education Department of Education. Enrollment counts will exceed operational enrollment counts due the fact that long term absence (LTA) students are excluded for funding purposes.",,,Grade 12; Grade 7; # Male; Economic Need Index; Grade 1; # Female; Grade 9; Grade K; Grade 6; Borough; # Asian; Grade 3; Year; Grade 2; Total Enrollment; % Female; Grade 3K+PK (Half Day & Full Day); # Multi-Racial; # Hispanic; % Hispanic; % Poverty; # English Language Learners; # Native American; Grade 11; # Poverty; % English Language Learners; % Missing Race/Ethnicity Data; Grade 4; Grade 8; % Asian; # White; Grade 5; % Male; Grade 10; % Black; % Multi-Racial; % Native American; # Students with Disabilities; % Students with Disabilities; # Missing Race/Ethnicity Data; # Black; % White,1003,1245,2021-11-18T18:03:43.000Z,2024-11-26T23:18:06.000Z,https://data.cityofnewyork.us/d/vquv-pjuh
smka-gz6w,2020-2021 Demographic Snapshot Citywide,Demographic Snapshot Citywide,dataset,"To provide a snapshot of citywide student enrollment and demographic information across multiple years. Data is collected using multiple data sources, including DOE's Audited Register, biographic data from Automate The Schools (ATS) system and the Location Code Generation and Management System (LCGMS).  Data can be used to view citywide demographic and enrollment trends over time.                                                                                             Enrollment counts are based on the October 31 Audited Register for each school year.  Please note that October 31 enrollment is not audited for charter schools or Pre-K Early Education Centers(NYCEECs).  Charter schools are required to submit enrollment as of BEDS Day the first Wednesday in October to the New York State Education Department of Education. Enrollment counts will exceed operational enrollment counts due the fact that long term absence (LTA) students are excluded for funding purposes.",,,Grade 12; Total Enrollment; Grade 10; % Students with Disabilities; # Female; # Asian; Grade 4; # Missing Race/Ethnicity Data; % Poverty; % Missing Race/Ethnicity Data; Grade 11; Grade 6; # Black; # Hispanic; # Students with Disabilities; Grade 8; % Black; % Asian; Grade 1; # Native American; Grade 9; % Native American; % Female; % Multi-Racial; % Hispanic; # White; % English Language Learners; # Male; Grade 3K+PK (Half Day & Full Day); % Male; Grade 5; Grade 7; # Multi-Racial; Year; Grade 3; % White; # Poverty; Economic Need Index; # English Language Learners; Grade 2; Grade K,999,1164,2021-11-18T18:09:46.000Z,2024-11-26T23:16:14.000Z,https://data.cityofnewyork.us/d/smka-gz6w
mc73-t4fs,2020-2021 Demographic Snapshot District,Demographic Snapshot District,dataset,"To provide a snapshot of citywide student enrollment and demographic information across multiple years. Data is collected using multiple data sources, including DOE's Audited Register, biographic data from Automate The Schools (ATS) system and the Location Code Generation and Management System (LCGMS).  Data can be used to view citywide demographic and enrollment trends over time.                                                                                             Enrollment counts are based on the October 31 Audited Register for each school year.  Please note that October 31 enrollment is not audited for charter schools or Pre-K Early Education Centers(NYCEECs).  Charter schools are required to submit enrollment as of BEDS Day the first Wednesday in October to the New York State Education Department of Education. Enrollment counts will exceed operational enrollment counts due the fact that long term absence (LTA) students are excluded for funding purposes.",,,Grade 12; Total Enrollment; Grade 3K+PK (Half Day & Full Day); # Female; Grade K; % Poverty; Grade 2; Grade 8; Grade 9; % English Language Learners; % Native American; % Female; % Male; # Asian; % Asian; # Black; % Black; % Multi-Racial; # White; Grade 3; % Missing Race/Ethnicity Data; Grade 10; # Students with Disabilities; # English Language Learners; # Poverty; Grade 11; Grade 4; % Students with Disabilities; Grade 6; Grade 5; Grade 7; Grade 1; Year; # Hispanic; % White; # Missing Race/Ethnicity Data; Administrative District; # Native American; # Male; Economic Need Index; # Multi-Racial; % Hispanic,1174,1241,2021-11-18T18:14:02.000Z,2024-11-26T23:17:27.000Z,https://data.cityofnewyork.us/d/mc73-t4fs
vmmu-wj3w,2020-2021 Demographic Snapshot School,Demographic Snapshot School,dataset,"To provide a snapshot of citywide student enrollment and demographic information across multiple years. Data is collected using multiple data sources, including DOE's Audited Register, biographic data from Automate The Schools (ATS) system and the Location Code Generation and Management System (LCGMS).  Data can be used to view citywide demographic and enrollment trends over time.                                                                                             Enrollment counts are based on the October 31 Audited Register for each school year.  Please note that October 31 enrollment is not audited for charter schools or Pre-K Early Education Centers(NYCEECs).  Charter schools are required to submit enrollment as of BEDS Day the first Wednesday in October to the New York State Education Department of Education. Enrollment counts will exceed operational enrollment counts due the fact that long term absence (LTA) students are excluded for funding purposes.",,,# Missing Race/Ethnicity Data; % Poverty; % White; Grade 1; # White; % Native American; Grade 6; Year; # Native American; Total Enrollment; % Multi-Racial; Grade 9; Grade 12; % Black; # Multi-Racial; Grade 7; Grade 8; Grade 10; % English Language Learners; # Female; % Female; % Students with Disabilities; # Poverty; # Male; DBN; Grade 3K+PK (Half Day & Full Day); Grade 5; School Name; % Hispanic; # Students with Disabilities; Grade 11; Grade 4; % Missing Race/Ethnicity Data; Grade 2; Grade K; % Male; Economic Need Index; # Asian; % Asian; Grade 3; # Black; # Hispanic; # English Language Learners,1995,9955,2021-11-18T18:17:50.000Z,2024-11-26T23:11:43.000Z,https://data.cityofnewyork.us/d/vmmu-wj3w
8vk5-fzts,2020 - 2021 Diversity Report,Diversity Report,dataset,"Report on Demographic Data in New York City Public Schools, 2020-21Enrollment counts are based on the November 13 Audited Register for 2020. Categories with total enrollment values of zero were omitted. Pre-K data includes students in 3-K. Data on students with disabilities, English language learners, and student poverty status are as of March 19, 2021.  Due to missing demographic information in rare cases and suppression rules, demographic categories do not always add up to total enrollment and/or citywide totals. NYC DOE ""Eligible for free or reduced-price lunch” counts are based on the number of students with families who have qualified for free or reduced-price lunch or are eligible for Human Resources Administration (HRA) benefits. English Language Arts and Math state assessment results for students in grade 9 are not available for inclusion in this report, as the spring 2020 exams did not take place. Spring 2021 ELA and Math test results are not included in this report for K-8 students in 2020-21. Due to the COVID-19 pandemic’s complete transformation of New York City’s school system during the 2020-21 school year, and in accordance with New York State guidance, the 2021 ELA and Math assessments were optional for students to take. As a result, 21.6% of students in grades 3-8 took the English assessment in 2021 and 20.5% of students in grades 3-8 took the Math assessment. These participation rates are not representative of New York City students and schools and are not comparable to prior years, so results are not included in this report.  Dual Language enrollment includes English Language Learners and non-English Language Learners.  Dual Language data are based on data from STARS; as a result, school participation and student enrollment in Dual Language programs may differ from the data in this report. STARS course scheduling and grade management software applications provide a dynamic internal data system for school use; while standard course codes exist, data are not always consistent from school to school. This report does not include enrollment at District 75 & 79 programs. Students enrolled at Young Adult Borough Centers are represented in the 9-12 District data but not the 9-12 School data. “Prior Year” data included in Comparison tabs refers to data from 2019-20. “Year-to-Year Change” data included in Comparison tabs indicates whether the demographics of a school or special program have grown more or less similar to its district or attendance zone (or school, for special programs) since 2019-20. Year-to-year changes must have been at least 1 percentage point to qualify as “More Similar” or “Less Similar”; changes less than 1 percentage point are categorized as “No Change”.  The admissions method tab contains information on the admissions methods used for elementary, middle, and high school programs during the Fall 2020 admissions process. Fall 2020 selection criteria are included for all programs with academic screens, including middle and high school programs. Selection criteria data is based on school-reported information. Fall 2020 Diversity in Admissions priorities is included for applicable middle and high school programs. Note that the data on each school’s demographics and performance includes all students of the given subgroup who were enrolled in the school on November 13, 2020. Some of these students may not have been admitted under the admissions method(s) shown, as some students may have enrolled in the school outside the centralized admissions process (via waitlist, over-the-counter, or transfer), and schools may have changed admissions methods over the past few years. Admissions methods are only reported for grades K-12. ""3K and Pre-Kindergarten data are reported at the site level. See below for definitions of site types included in this report. Additionally, please note that this report excludes all students at District 75 sites, reflecting slightly lower enrollment than our total of 60,265 students",,,DBN; Process; Admissions Method for Students Entering in Fall 2020; Program Code; Diversity In Admissions Priority for Students Entering in Fall 2020; Program Name; School Name; Selection Criteria for Students Entering in Fall 2020,4177,5208,2022-03-04T23:31:58.000Z,2024-11-26T23:05:36.000Z,https://data.cityofnewyork.us/d/8vk5-fzts
tcj7-bhry,2020 DOE Gifted and Talented Admissions Guide,DOE Gifted and Talented Admissions Guide,dataset,Directory of Department of Education Elementary Schools in 2020.,,,Postcode; BBL; Latitude; Council District; Census Tract; NTA; District; Citywide G&T; Address; Phone; Accessibility; Y Coordinate; Borough; Longitude; BIN; School Name; G&T Grades; Community Board; DBN; X Coordinate,1443,1077,2020-12-21T18:14:59.000Z,2024-11-26T23:14:36.000Z,https://data.cityofnewyork.us/d/tcj7-bhry
f6s7-vytj,2021 DOE Middle School Directory,DOE Middle School Directory,dataset,Directory of Department of Education Schools in 2021.,,,gefilled_prog9; priority7_prog2; priority5_prog3; BBL; priority3_prog5; overview; geseats_prog7; priority4_prog5; priority3_prog7; priority6_prog15; geapps_prog4; priority3_prog15; priority2_prog5; priority4_prog15; priority5_prog6; geapps_prog8; admissionsmethod_prog8; swdfilled_prog5; admissionsmethod_prog9; neighborhood; admissionsmethod_prog1; bus; eligibility_prog15; schooldbn; priority7_prog3; priority5_prog11; swdappsperseat_prog15; swdappsperseat_prog14; admissionsmethod_prog12; name_prog12; swdapps_prog14; eligibility_prog7; priority7_prog6; priority1_prog3; geapps_prog5; swdapps_prog15; gradespan; geapps_prog7; swdseats_prog10; priority2_prog15; swdapps_prog10; geapps_prog10; priority4_prog8; priority1_prog15; gefilled_prog4; code_prog13; name_prog9; admissionsmethod_prog5; name_prog11; geseats_prog2; swdappsperseat_prog3; eligibility_prog4; swdfilled_prog9; ellprograms; priority1_prog1; swdapps_prog2; swdfilled_prog4; name_prog15; priority6_prog5; swdseats_prog15; priority5_prog1; Borough; swdfilled_prog6; priority3_prog6; geapps_prog6; priority6_prog4; geappsperseat_prog4; admissionsmethod_prog15; priority7_prog5; electiveclasses; priority5_prog5; geseats_prog6; admissionsmethod_prog6; Community Board; name_prog1; priority5_prog13; swdappsperseat_prog1; subway; independentwebsite; priority2_prog4; address; name; eligibility_prog1; code_prog2; swdapps_prog12; name_prog6; priority5_prog8; priority2_prog2; swdapps_prog4; swdfilled_prog15; priority7_prog11; geseats_prog14; priority3_prog12; geapps_prog1; geseats_prog4; priority3_prog3; priority6_prog2; code_prog6; eligibility_prog6; priority2_prog6; swdseats_prog5; eligibility_prog2; gefilled_prog2; priority1_prog8; priority2_prog14; swdappsperseat_prog8; geappsperseat_prog11; eligibility_prog11; priority6_prog11; geappsperseat_prog14; priority1_prog12; swdappsperseat_prog11; priority5_prog12; priority5_prog10; priority3_prog11; geseats_prog15; priority5_prog4; admissionsmethod_prog13; geseats_prog11; priority4_prog14; priority3_prog13; priority2_prog10; swdseats_prog3; geappsperseat_prog1; priority3_prog9; sharedbuilding; priority1_prog13; priority4_prog4; priority3_prog8; priority6_prog12; priority4_prog13; swdapps_prog7; admissionsmethod_prog4; swdfilled_prog2; geapps_prog11; geappsperseat_prog3; geappsperseat_prog5; gefilled_prog1; swdseats_prog11; geseats_prog12; swdseats_prog12; priority1_prog11; priority6_prog10; swdseats_prog9; swdseats_prog8; priority2_prog7; priority1_prog10; priority4_prog9; swdfilled_prog8; swdfilled_prog7; geappsperseat_prog6; swdseats_prog6; priority3_prog4; swdapps_prog6; gefilled_prog5; swdappsperseat_prog2; swdseats_prog1; telephone; admissionsmethod_prog7; priority2_prog9; district; priority6_prog3; geseats_prog5; priority4_prog6; eligibility_prog12; name_prog14; priority5_prog2; priority4_prog3; swdfilled_prog14; priority7_prog7; code_prog8; swdapps_prog9; geappsperseat_prog12; swdfilled_prog1; swdfilled_prog12; priority4_prog1; priority7_prog8; geappsperseat_prog9; priority4_prog7; geappsperseat_prog10; code_prog14; swdfilled_prog11; priority4_prog11; priority3_prog10; priority7_prog15; priority7_prog12; code_prog15; gefilled_prog13; swdappsperseat_prog6; code_prog10; priority7_prog9; priority4_prog10; priority7_prog14; geapps_prog9; eligibility_prog9; priority5_prog9; swdfilled_prog10; gefilled_prog11; priority2_prog13; swdapps_prog13; swdseats_prog14; accessibility_description; admissionsmethod_prog10; priority3_prog14; priority3_prog2; priority1_prog9; url; eligibility_prog10; mathprof; tophs2; totalstudents; priority6_prog1; eligibility_prog5; swdappsperseat_prog4; name_prog4; eligibility_prog8; code_prog4; swdseats_prog7; code_prog11; geappsperseat_prog15; priority2_prog3; eligibility_prog3; swdapps_prog3; priority6_prog7; priority1_prog5; swdapps_prog5; geseats_prog3; priority5_prog7; name_prog3; code_prog3; diversityinadmissions; code_prog5; gefilled_prog8; code_prog9; geseats_prog10; name_prog5; priority4_prog2; priority1_prog2; swdseats_prog2; priority1_prog7; geapps_prog2; priority6_prog8; swdappsperseat_prog5; geappsperseat_prog7; eligibility_prog13; swdfilled_prog3; swdappsperseat_prog9; name_prog2; swdappsperseat_prog7; admissionsmethod_prog11; name_prog7; Council District; geapps_prog15; code_prog7; priority2_prog8; name_prog8; priority3_prog1; gefilled_prog7; priority2_prog11; geseats_prog8; priority7_prog4; swdapps_prog1; surveysafety; priority7_prog1; priority2_prog1; swdfilled_prog13; swdapps_prog11; swdapps_prog8; geappsperseat_prog8; geapps_prog12; geapps_prog14; Latitude; start_time; end_time; acceleratedclasses; swdappsperseat_prog13; geseats_prog9; activities_description; geappsperseat_prog13; othersports; priority4_prog12; swdseats_prog4; code_prog12; gefilled_prog3; swdseats_prog13; geapps_prog3; Census Tract; Postcode; priority6_prog14; gefilled_prog15; priority7_prog13; name_prog13; gefilled_prog14; priority7_prog10; geseats_prog1; name_prog10; priority5_prog15; geappsperseat_prog2; swdappsperseat_prog10; priority2_prog12; admissionsmethod_prog14; priority6_prog13; swdappsperseat_prog12; NTA; coursepassrate; geapps_prog13; BIN; languageclasses; geseats_prog13; admissionsmethod_prog3; priority6_prog9; Longitude; code_prog1; gefilled_prog12; gefilled_prog10; priority1_prog4; tophs3; tophs1; priority6_prog6; admissionsmethod_prog2; priority1_prog6; other_features; priority1_prog14; eligibility_prog14; priority5_prog14; elaprof; gefilled_prog6,32758,7411,2020-09-23T19:44:57.000Z,2024-11-26T23:11:18.000Z,https://data.cityofnewyork.us/d/f6s7-vytj
iebs-5yhr,English Language Arts (ELA) Test Results 2013-2023,English Language Arts (ELA) Test Results,dataset,This report includes results for the New York State English Language Arts exams for the years 2013-2023.,,,Pct Level 3; Pct Level 2; Grade; Num Level 3; Report Category; School Name; Pct Level 3 and 4; Num Level 3 and 4; Num Level 1; Mean Scale Score; Geographic Subdivision; Student Category; Pct Level 4; Num Level 4; Number Tested; Pct Level 1; Year; Num Level 2,7021,4271,2024-04-02T16:51:40.000Z,2024-11-26T23:17:56.000Z,https://data.cityofnewyork.us/d/iebs-5yhr
gkd7-3vk7,Enrollment Capacity And Utilization Reports,Enrollment Capacity And Utilization Reports,dataset,"Enrollment, target capacity and utilization data for every building and schools in those buildings.",,,Data As Of; No. of Cluster Rms Needed +; Incl. Class; Organization Name; Target Bldg Cap; Org ID; Bldg Name; Bldg ID; Geo Dist; Bldg Enroll; Org Target Cap; No. of Cluster / Spec Rms Reported +; Org Enroll; PreK Cap +; Target Bldg Util; Org Target Util,5839,7374,2015-05-11T20:51:59.000Z,2024-01-10T16:19:21.000Z,https://data.cityofnewyork.us/d/gkd7-3vk7
