,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6359,32,,S1,1464 86TH STREET,,11228,1,1,2,"1,600","3,040",1931,1,S1,"3,400,000",02/04/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,11,,A5,8669 15 AVENUE,,11228,1,0,1,"1,547","1,428",1930,1,A5,"999,000",03/30/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,37,,A5,8611 16 AVENUE,,11214,1,0,1,"1,893","1,714",1930,1,A5,"970,000",01/13/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6364,4,,A5,1643 BENSON AVENUE,,11214,1,0,1,"1,638","1,746",1930,1,A5,0,09/08/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6364,72,,A5,68 BAY 14TH STREET,,11214,1,0,1,"1,950",972,1950,1,A5,"860,000",11/24/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6372,39,,A9,86-29 19 AVENUE,,11214,1,0,1,"2,417","1,944",1930,1,A9,"1,180,000",11/19/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6374,67,,S1,8642 20TH AVENUE,,11214,1,1,2,"1,740","3,240",1925,1,S1,"1,100,000",09/03/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6380,16,,S1,59 BAY 29 STREET,,11214,1,1,2,"3,867","3,947",1920,1,S1,0,03/10/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6380,16,,S1,59 BAY 29 STREET,,11214,1,1,2,"3,867","3,947",1920,1,S1,"2,275,000",02/09/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6405,47,,S1,1869 BATH AVENUE,,11214,1,1,2,"1,105","1,800",1920,1,S1,0,05/15/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6409,15,,S1,8729 20 AVENUE,,11214,1,1,2,"6,767","5,824",1910,1,S1,"2,700,000",07/02/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6431,15,,A9,221 BAY 13 STREET,,11214,1,0,1,"1,530","2,484",1920,1,A9,"900,000",10/20/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6442,35,,S1,2020 BATH AVENUE,,11214,1,1,2,"1,174","1,596",1925,1,S1,0,09/10/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6447,29,,S1,2156 BATH AVENUE,,11214,1,1,2,"1,933","2,201",1920,1,S1,"1,475,000",10/06/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,61,,A9,286 BAY 10 STREET,,11228,1,0,1,"1,933","1,152",1920,1,A9,"1,220,000",09/22/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,65,,A5,298 BAY 10TH STREET,,11228,1,0,1,"1,933","1,152",1920,1,A5,"1,150,000",04/24/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,215,,A5,8872 16 AVENUE,,11214,1,0,1,"1,760",992,1950,1,A5,0,03/04/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,222,,A5,8886 16TH AVENUE,,11214,1,0,1,"1,760",992,1950,1,A5,"995,000",06/09/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,241,,A5,1594 INDEPENDENCE AVENUE,,11228,1,0,1,"1,764",992,1950,1,A5,"980,000",06/29/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,242,,A5,1592 INDEPENDENCE AVENUE,,11228,1,0,1,"1,844",992,1950,1,A5,"1,100,000",02/18/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,78,,A5,313 BAY 14 STREET,,11214,1,0,1,"1,511",992,1950,1,A5,0,04/16/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,79,,A5,311 BAY 14 STREET,,11214,1,0,1,"1,511",992,1950,1,A5,"960,000",04/27/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,83,,A5,303 BAY 14TH STREET,,11214,1,0,1,"1,511",928,1950,1,A5,"785,000",01/21/2026
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,90,,A5,283 BAY 14TH STREET,,11214,1,0,1,"1,795","1,152",1930,1,A5,"838,000",09/18/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,124,,A5,298 BAY 14TH STREET,,11214,1,0,1,"1,555",992,1950,1,A5,"930,000",09/30/2025
Brooklyn Rolling Sales. All Sales From August 2025 - July 2026,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,129,,A5,308 BAY 14 STREET,,11214,1,0,1,"1,511",992,1950,1,A5,0,04/23/2026
